R 0.009658587 
N 28 
H 0 0.771324627
H 0.0539920737164461 0.669086571
H 0.0910942199492912 1.195143788
H 0.137135587674914 2.042824974
H 0.19426995205218 3.439688441
H 0.265170008980281 4.069487124
H 0.353152401489544 3.832825666
H 0.462332869419267 3.415440838
H 0.597818780149624 2.837306002
H 0.765948046807924 2.366005601
H 0.974585610335215 2.000646024
H 1.23349135458658 1.720714298
H 1.55477666521373 1.474701514
H 1.95347098975741 1.255540619
H 2.44822490213847 1.102595121
H 3.06218256029306 1.225704257
H 3.82406436976191 2.302921634
H 4.7695104992951 6.152541993
H 5.94274809696455 13.255302520
H 7.39866019770459 18.742052461
H 9.20535310397681 20.911761191
H 11.4473423393951 25.487753857
H 14.2295062114516 42.106652204
H 17.6819919275716 81.099316601
H 21.9663037683412 116.741633336
H 27.2828581173586 95.401003206
H 33.8803587654389 37.276912152
H 52.2270591191876 12.331409429
