"","Organism.Name","median_length"
"1","Altolamprologus_calvus",691494055.5
"2","Altolamprologus_compressiceps",693553237.5
"3","Altolamprologus_sp._'compressiceps_shell'_AB-2019",652095080
"4","Amphilophus_citrinellus",903058507.5
"5","Amphilophus_zaliosus",691926659
"6","Andinoacara_biseriatus",682785894
"7","Apistogramma_caetei",964215789
"8","Apistogramma_diplotaenia",627074439
"9","Archocentrus_centrarchus",932930362
"10","Astatoreochromis_straeleni",689581009
"11","Astatotilapia_calliptera",880428986
"12","Astatotilapia_flaviijosephi",648774917
"13","Astatotilapia_latifasciata",924271802
"14","Astatotilapia_stappersii",688206949
"15","Aulonocara_stuartgranti",821350769.5
"16","Aulonocranus_dewindti",680917458.5
"17","Australoheros_facetus",868528015
"18","Australoheros_scitulus",709570869
"19","Baileychromis_centropomoides",694036117
"20","Bathybates_fasciatus",698583013.5
"21","Bathybates_ferox",684073893
"22","Bathybates_graueri",697545366
"23","Bathybates_hornii",713044778.5
"24","Bathybates_leo",683123695
"25","Bathybates_minor",691031107.5
"26","Bathybates_vittatus",699221876
"27","Benitochromis_conjunctus",665781484
"28","Benthochromis_horii",691640671
"29","Benthochromis_melanoides",690173480
"30","Benthochromis_sp._'horii_mahale'_AB-2019",705300076
"31","Benthochromis_tricoti",676647061
"32","Boulengerochromis_microlepis",727700661
"33","Bujurquina_vittata",685844181
"34","Callochromis_macrops",694589725
"35","Callochromis_melanostigma",687561785.5
"36","Callochromis_pleurospilus",697943707
"37","Cardiopharynx_schoutedeni",689348079.5
"38","Chalinochromis_brichardi",691831558
"39","Chalinochromis_cyanophleps",696391241.5
"40","Chalinochromis_popelini",676554216.5
"41","Chalinochromis_sp._'bifrenatus'",691431758.5
"42","Chalinochromis_sp._'ndobhoi'_AB-2019",683933524
"43","Chromidotilapia_guntheri",850211548
"44","Cichlasoma_orientale",775941416
"45","Copadichromis_chrysonotus",864558252
"46","Coptodon_bakossiorum",729867591
"47","Coptodon_congicus",902651188
"48","Coptodon_rendalli",734510853
"49","Cunningtonia_longiventralis",666687383.5
"50","Cyathopharynx_foae",658593033.5
"51","Cyathopharynx_furcifer",691522228
"52","Cyphotilapia_frontosa",690033791
"53","Cyphotilapia_gibberosa",706479762.5
"54","Cyphotilapia_sp._'5-bar_frontosa'_AB-2019",716001294.5
"55","Cyprichromis_coloratus",700240792
"56","Cyprichromis_leptosoma",679409022.5
"57","Cyprichromis_microlepidotus",672630607
"58","Cyprichromis_pavo",679890400
"59","Cyprichromis_sp._'dwarf_jumbo'_AB-2019",705370402
"60","Cyprichromis_sp._'jumbo'_AB-2019",698829690
"61","Cyprichromis_sp._'kibishi'_AB-2019",668043157.5
"62","Cyprichromis_zonatus",685059254.5
"63","Diplotaxodon_limnothrissa",919679319
"64","Ectodus_descampsii",682256235.5
"65","Ectodus_sp._'north'",680089041.5
"66","Eretmodus_cyanostictus",712959593.5
"67","Eretmodus_marksmithi",699001996
"68","Etia_nguti",737182303
"69","Etroplus_canarensis",975368651
"70","Etroplus_suratensis",1247975007
"71","Gnathochromis_permaxillaris",696665610.5
"72","Gnathochromis_pfefferi",682107494
"73","Grammatotria_lemairii",692975786.5
"74","Greenwoodochromis_abeelei",691809949.5
"75","Greenwoodochromis_bellcrossi",715592818
"76","Greenwoodochromis_christyi",699427127.5
"77","Greenwoodochromis_staneri",696635811
"78","Haplochromis_burtoni",831411547
"79","Haplochromis_chilotes",798403686
"80","Haplochromis_paludinosus",665712341
"81","Haplochromis_sauvagei",805051152
"82","Haplochromis_sp._Chipwa",687293026.5
"83","Haplochromis_vanheusdeni",688696421
"84","Haplotaxodon_microlepis",725877926
"85","Haplotaxodon_trifasciatus",689492295
"86","Hemibates_koningsi",647500868.5
"87","Hemibates_stenosoma",688244159
"88","Hemichromis_elongatus",694332140
"89","Heterochromis_multidens",833341774
"90","Heterotilapia_buettikoferi",720630469
"91","Interochromis_loocki",686196887
"92","Julidochromis_dickfeldi",698165192.5
"93","Julidochromis_marksmithi",698646140
"94","Julidochromis_marlieri",705181256
"95","Julidochromis_ornatus",683018392.5
"96","Julidochromis_regani",690399228
"97","Julidochromis_sp._'kombe'_AB-2019",680542881.5
"98","Julidochromis_sp._'marlieri_south'_AB-2019",697766747
"99","Julidochromis_sp._'regani_south'_AB-2019",671983951.5
"100","Julidochromis_sp._'unterfels'_AB-2019",715155288.5
"101","Julidochromis_transcriptus",712364085.5
"102","Labeotropheus_fuelleborni",70858381
"103","Labeotropheus_trewavasae",929610880
"104","Lamprologus_callipterus",687239450.5
"105","Lamprologus_laparogramma",690781245.5
"106","Lamprologus_lemairii",675014525
"107","Lamprologus_ocellatus",680184415
"108","Lamprologus_ornatipinnis",700616337.5
"109","Lamprologus_signatus",692902462
"110","Lamprologus_similis",701621977
"111","Lamprologus_sp._'ornatipinnis_congo'_AB-2019",688350614
"112","Lamprologus_sp._'ornatipinnis_zambia'_AB-2019",676881810.5
"113","Lamprologus_speciosus",714768096
"114","Lamprologus_stappersi",667701200.5
"115","Lamprologus_tigripictilis",710946870
"116","Lepidiolamprologus_attenuatus",689083730
"117","Lepidiolamprologus_cunningtoni",706335988
"118","Lepidiolamprologus_elongatus",681976772.5
"119","Lepidiolamprologus_kamambae",684261897.5
"120","Lepidiolamprologus_kendalli",696185472.5
"121","Lepidiolamprologus_mimicus",681615312
"122","Lepidiolamprologus_pleuromaculatus",702001188
"123","Lepidiolamprologus_profundicola",704572923.5
"124","Lepidiolamprologus_sp._'meeli_kipili'_AB-2019",682140804
"125","Lestradea_perspicax",659223619.5
"126","Lestradea_stappersii",665033414
"127","Lethrinops_sp._'Chilingali'",888697736
"128","Limnochromis_auritus",685010641.5
"129","Limnotilapia_dardennii",683138595
"130","Lithochromis_rufus",790111796
"131","Lobochilotes_labiata",679596570.5
"132","Lugubria_johanna",824082141
"133","Maylandia_zebra",957468680
"134","Mchenga_conophoros",73425564
"135","Melanochromis_auratus",68238634
"136","Neolamprologus_bifasciatus",695108752
"137","Neolamprologus_boulengeri",680918172
"138","Neolamprologus_brevis",665667552
"139","Neolamprologus_brichardi",773333150.5
"140","Neolamprologus_buescheri",688222446.5
"141","Neolamprologus_calliurus",692124873.5
"142","Neolamprologus_cancellatus",592156900
"143","Neolamprologus_caudopunctatus",701284443
"144","Neolamprologus_chitamwebwai",680400284.5
"145","Neolamprologus_christyi",687761678
"146","Neolamprologus_crassus",692973605
"147","Neolamprologus_cylindricus",709180975
"148","Neolamprologus_devosi",710808205
"149","Neolamprologus_falcicula",707245098
"150","Neolamprologus_fasciatus",703624259
"151","Neolamprologus_furcifer",716046661
"152","Neolamprologus_gracilis",711983537.5
"153","Neolamprologus_hecqui",678459838
"154","Neolamprologus_helianthus",683439928.5
"155","Neolamprologus_kungweensis",710670622
"156","Neolamprologus_leleupi",711353858
"157","Neolamprologus_leloupi",696017419
"158","Neolamprologus_longicaudatus",707028091.5
"159","Neolamprologus_longior",707875140
"160","Neolamprologus_marunguensis",706212917
"161","Neolamprologus_meeli",692152765
"162","Neolamprologus_modestus",700943171
"163","Neolamprologus_mondabu",707318467.5
"164","Neolamprologus_multifasciatus",661545306
"165","Neolamprologus_mustax",686230557.5
"166","Neolamprologus_niger",685376598.5
"167","Neolamprologus_nigriventris",715351439.5
"168","Neolamprologus_obscurus",688280419.5
"169","Neolamprologus_olivaceous",706849875.5
"170","Neolamprologus_pectoralis",713361244
"171","Neolamprologus_petricola",694213564
"172","Neolamprologus_prochilus",676560028.5
"173","Neolamprologus_pulcher",683244166.5
"174","Neolamprologus_savoryi",683441871
"175","Neolamprologus_sexfasciatus",683913861.5
"176","Neolamprologus_sp._'brevis_magara'_AB-2019",696307991
"177","Neolamprologus_sp._'caudopunctatus_kipili'_AB-2019",690140357
"178","Neolamprologus_sp._'cygnus'_AB-2019",695229334
"179","Neolamprologus_sp._'eseki'_AB-2019",689249502.5
"180","Neolamprologus_sp._'falcicula_mahale'_AB-2019",673781635.5
"181","Neolamprologus_sp._'furcifer_ulwile'_AB-2019",692379399
"182","Neolamprologus_sp._'gracilis_tanzania'_AB-2019",688409634.5
"183","Neolamprologus_sp._'kombe'_AB-2019",652961725
"184","Neolamprologus_sp._'ventralis_stripe'_AB-2019",685965575
"185","Neolamprologus_tetracanthus",696630526
"186","Neolamprologus_timidus",686640410.5
"187","Neolamprologus_toae",712528992.5
"188","Neolamprologus_tretocephalus",693969632.5
"189","Neolamprologus_variostigma",718240569
"190","Neolamprologus_ventralis",710602712.5
"191","Neolamprologus_walteri",686181235.5
"192","Ophthalmotilapia_boops",674999991.5
"193","Ophthalmotilapia_heterodonta",673797777
"194","Ophthalmotilapia_nasuta",690949233.5
"195","Ophthalmotilapia_sp._'paranasuta'_AB-2019",697053043
"196","Ophthalmotilapia_sp._'white_cap'_AB-2019",690128465.5
"197","Ophthalmotilapia_ventralis",674403530.5
"198","Oreochromis_aureus",1005558595
"199","Oreochromis_grahami",892455989
"200","Oreochromis_malagarasi",705671466
"201","Oreochromis_mossambicus",1047174011
"202","Oreochromis_niloticus",1005664923
"203","Oreochromis_spilurus",764974731
"204","Oreochromis_tanganicae",740988474
"205","Orthochromis_indermauri",698529318.5
"206","Orthochromis_malagaraziensis",685575294
"207","Orthochromis_mazimeroensis",683263474
"208","Orthochromis_uvinzae",685472408
"209","Otopharynx_argyrosoma",875617937
"210","Otopharynx_argyrosoma_'red'",7018548
"211","Parachromis_managuensis",896662747
"212","Paracyprichromis_brieni",681475485
"213","Paracyprichromis_nigripinnis",690071147
